,name,latitude_1,longitude_1,latitude_2,longitude_2,latitude_3,longitude_3,latitude_4,longitude_4,latitude_5,longitude_5,latitude_6,longitude_6,latitude_7,longitude_7,latitude_8,longitude_8,latitude_9,longitude_9,latitude_10,longitude_10,latitude_11,longitude_11,latitude_12,longitude_12,latitude_13,longitude_13,latitude_14,longitude_14,latitude_15,longitude_15,latitude_16,longitude_16,latitude_17,longitude_17,latitude_18,longitude_18,latitude_19,longitude_19,latitude_20,longitude_20,enter-parking
12,13_A,36.11117602844788,-115.1412843870651,36.11119188332817,-115.1412808826961,36.11120395061771,-115.1412549143865,36.11121128674769,-115.1412115300005,36.11121591551694,-115.1411510740675,36.11121424359512,-115.1411042543907,36.11121946492116,-115.1410503445627,36.11122324502617,-115.1409775735803,36.11122092613974,-115.1409167141203,36.11122285659162,-115.1408561596146,36.11120901824021,-115.1408198340656,36.11118184945276,-115.1407881703325,36.11114885993391,-115.1407442479685,36.11111465669948,-115.1407100449037,36.11108621943691,-115.140672735179,36.11105159268628,-115.1406709242839,36.11100719879903,-115.1406701079012,36.11096662579432,-115.1406641837218,36.11094617469163,-115.1406491768641,36.11091761793811,-115.1406200170444,1
13,14_A,36.11112592947977,-115.1415189798486,36.111155560154,-115.1415107084597,36.11118289462566,-115.1414860082703,36.11119399113165,-115.1414256616202,36.1111988958449,-115.1413698234266,36.1112035558005,-115.1413148708763,36.1112093704731,-115.1412543871665,36.1112150704962,-115.1411990702799,36.11122318398017,-115.1411374202211,36.11121980263196,-115.14107379155,36.11122304244911,-115.1409936860793,36.11122624008024,-115.1409333357456,36.11123120120657,-115.1408644725217,36.11123702533188,-115.1408016023289,36.11124201921844,-115.1407422707062,36.11123433785891,-115.1406825242637,36.11118422513942,-115.140688999872,36.11111247782628,-115.1406726690481,36.11103283540207,-115.140668453828,36.11093099533652,-115.1406358053982,1
14,15_A,36.1106360797699,-115.141200968176,36.11060995411074,-115.1411954420548,36.11057326113175,-115.1411881647543,36.11053633471719,-115.1411771221267,36.11049006048875,-115.1411531013907,36.11048962773778,-115.1411039158638,36.11049643228001,-115.1410433143827,36.11050087217555,-115.140993422749,36.11052032240183,-115.1409338172583,36.11055877287168,-115.1409249935467,36.11060178360233,-115.1409052062259,36.11063675707022,-115.1409039766097,36.11067338831759,-115.1408713253045,36.11070147482378,-115.1408487911585,36.11071881413371,-115.1408021482039,36.11071765636969,-115.1407746243103,36.11073629277303,-115.1407481797398,36.11076958743374,-115.1407055055085,36.11079449038679,-115.1406741601858,36.11083741307782,-115.1406336451414,1
15,16_A,36.10969859995617,-115.1408629810931,36.10974622479317,-115.1408591678489,36.10982786232212,-115.1408424280774,36.10993089758919,-115.1408626305474,36.10999504658695,-115.140873907842,36.1100858711068,-115.1409036174848,36.11015342909928,-115.140937236812,36.11022391826049,-115.140940491314,36.11029806851887,-115.1409299306889,36.11035493587097,-115.1409187360515,36.11042602364677,-115.1409206198051,36.11050861132889,-115.1409059175267,36.11056774506952,-115.1408921799149,36.11064087331524,-115.14088189852,36.11068845574969,-115.140870765823,36.11069278330039,-115.1408245412527,36.11069954498598,-115.140767961346,36.11071131459477,-115.1407150529584,36.11071748878235,-115.1406670881902,36.11071410289212,-115.1406184408869,1
16,17_A,36.11060813267463,-115.1411924839383,36.11058525561092,-115.1411942069355,36.11055769939695,-115.1411911920434,36.1105178827429,-115.1411761168649,36.11048990159097,-115.1411511987997,36.11048139870606,-115.1411114567834,36.11048151714397,-115.1410688937295,36.11048163835891,-115.141025325692,36.11048582093867,-115.140980199446,36.11050136316743,-115.1409511160857,36.11051742371429,-115.1408937687886,36.11051692139377,-115.1408310675931,36.11053441127385,-115.140766181281,36.1105624501976,-115.1407365428636,36.11059697043529,-115.14071326652,36.1106222206995,-115.1406953968255,36.11064996966056,-115.1406810061555,36.11067864227029,-115.1406633238245,36.11069901576411,-115.1406490939907,36.11070143407223,-115.1406169630313,1
17,18_A,36.11064705155805,-115.1411167821688,36.11065864110097,-115.1410720508532,36.11066026516362,-115.1410423668286,36.11064116786486,-115.1410112224136,36.11062163608744,-115.1409802256425,36.11062555441396,-115.1409568684439,36.11064343867083,-115.1409269549018,36.11065740730298,-115.1409082872809,36.11067321746069,-115.1408859085574,36.11068615822044,-115.140865720852,36.1106912139956,-115.1408379940306,36.11069279674352,-115.1408153171678,36.11069461059236,-115.1407901337512,36.11069838877726,-115.1407699894305,36.1107022103572,-115.1407432643219,36.11070740216745,-115.1407091012726,36.11071006590908,-115.1406818384731,36.1107147088314,-115.1406634667713,36.1107161191849,-115.1406427140264,36.11071801784736,-115.1406168988803,1
18,19_A,36.11045560376277,-115.1412681506373,36.11045826345263,-115.1412458119855,36.11046196070798,-115.1412217519143,36.11046447911359,-115.1411944371505,36.11046986814871,-115.141158010214,36.11047498091592,-115.1411236720723,36.11047618772716,-115.1410885915352,36.11048202529442,-115.1410581773419,36.11048298047197,-115.1410225892949,36.1104928634193,-115.1409770314296,36.1105093769618,-115.1409555034788,36.11053428471495,-115.1409354663282,36.1105667348787,-115.1409183594883,36.11061026731524,-115.1408985274895,36.11064390829499,-115.1408839849536,36.11069122740216,-115.1408409617145,36.11069716413981,-115.1407952380177,36.11070671913742,-115.1407319361757,36.11071331800722,-115.1406839323817,36.11071578773189,-115.1406199876457,1
19,20_A,36.11045376235416,-115.1412641246111,36.11045412372019,-115.1412437351406,36.11046021165656,-115.1412122956238,36.11046228326236,-115.1411743198835,36.1104651667145,-115.1411312018521,36.11047106311035,-115.1410919686768,36.11047088834263,-115.1410399481578,36.11047137775373,-115.1410027997718,36.11047335680998,-115.1409618854269,36.11047722844301,-115.1409179361345,36.11047924389291,-115.1408790300638,36.11048871474441,-115.1408361564746,36.11049500901554,-115.140794787375,36.11051063490966,-115.1407549507193,36.11052080972016,-115.1407178146348,36.11053717974376,-115.1406779436654,36.11055310707194,-115.1406112920614,36.11055987577205,-115.1405626238254,36.11056830146862,-115.1405215953123,36.11062618686913,-115.1405119480839,1
20,21_A,36.10960241114243,-115.1415552625954,36.10970529152873,-115.1415469057187,36.10981163402263,-115.141526824154,36.11002211574787,-115.1414859167013,36.11002577066701,-115.1414050873809,36.11007692314298,-115.1413398354388,36.11012085936175,-115.1412695087312,36.11014221461393,-115.1411747422431,36.11014993039836,-115.1410479878883,36.11023354107461,-115.1410257917714,36.11033046028913,-115.14102339819,36.11042297533927,-115.1410254154049,36.11048998302405,-115.1410083408669,36.11053994137272,-115.1409369300316,36.11060033030388,-115.1409148738238,36.11066634455838,-115.1408862274797,36.11069599173713,-115.140822343165,36.11069861409786,-115.1407608178835,36.11071185031399,-115.1406871912215,36.11071258462208,-115.1406192349734,1
21,22_A,36.10972088249133,-115.1390971570363,36.10977294595705,-115.139163446163,36.10985969102006,-115.1392125173407,36.10997011888592,-115.1392315002354,36.11008258169429,-115.1392413791349,36.11018850633314,-115.1392530153918,36.11030191211641,-115.1392750275415,36.11037792246372,-115.1393838461177,36.11044778552501,-115.139518132614,36.11049248169793,-115.1396462463972,36.11048164770783,-115.1397507602029,36.11047855915601,-115.1399100181822,36.11047392968565,-115.1400435241882,36.11047701753049,-115.1401643478123,36.11047084751915,-115.1402465872129,36.11046622661503,-115.1403357134613,36.11046007361772,-115.140427862847,36.11049248996029,-115.140452010797,36.11053769955785,-115.1404973311593,36.11059932501374,-115.1405270830483,1
